Q,R,X,Y,Z,som_NLSHproc_evc_1,som_awaitack_dmi_1,som_checklev_evc_1,som_checkpos_rbc_1,som_checkrbcsess_rtm_1,som_checktrain_rbc_1,som_checktrainroute_rbc_1,som_checkval_rbc_1,som_chmod_evc_1,som_driversel_dmi_1,som_enterid_dmi_1,som_giveup_evc_1,som_grantFS_rbc_1,som_grantOS_rbc_1,som_grantSN_evc_1,som_grantSR_evc_1,som_grantSR_rbc_1,som_grantUN_evc_1,som_inserttraindata_dmi_1,som_openconn_rtm_1,som_retry_dmi_1,som_retryconn_dmi_1,som_selstart_dmi_1,som_sendMAreq_rtm_1,som_storeacc_evc_1,som_storeid_evc_1,som_storepos_rbc_1,som_storevalacc_rbc_1,som_validate_evc_1,Fitness
1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7499875001249987
0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8857063673921863
1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7368343491121145
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9565090738341405
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6999930000699993
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9310246136233543
0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7499875001249987
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9285612245626818
2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7930945303825491
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8499865001349987
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444283952400528
1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7916559028674761
0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7999920000799992
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9090780992900065
