som_NLSHproc_evc_1,som_awaitack_dmi_1,som_checklev_evc_1,som_checkpos_rbc_1,som_checkrbcsess_rtm_1,som_checktrain_rbc_1,som_checktrainroute_rbc_1,som_checkval_rbc_1,som_chmod_evc_1,som_driversel_dmi_1,som_enterid_dmi_1,som_giveup_evc_1,som_grantFS_rbc_1,som_grantOS_rbc_1,som_grantSN_evc_1,som_grantSR_evc_1,som_grantSR_rbc_1,som_grantUN_evc_1,som_inserttraindata_dmi_1,som_openconn_rtm_1,som_retry_dmi_1,som_retryconn_dmi_1,som_selstart_dmi_1,som_sendMAreq_rtm_1,som_storeacc_evc_1,som_storeid_evc_1,som_storepos_rbc_1,som_storevalacc_rbc_1,som_validate_evc_1,Fitness
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0.7894653740486942
0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0.6666569445254623
2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4999937500781241
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.8095113379872573
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6666577778962948
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.8095113379872573
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7894653740486942
0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,2,0.43999248006015956
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999823531487865
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7646910036352513
2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.714278911629413
0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.46665377794962737
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.6470453288784838
1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5882283737838379
0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0.6551644471417439
0,0,2,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0.3157861496194777
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0.545449586821938
0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6841980610730414
1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.39999466673777684
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.7857051021064135
0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8399892800857593
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9047485262045123
0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,2,0,2,0,0,0,0.5714209184220113
0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0.4736792244292165
0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0.4117539793649486
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0.7333168891081452
1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0.5263102493657961
1,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5714231293035305
